DishName,Cuisine,Type,Description,PriceRangeUSD
Pizza Margherita,Italian,Main,"Classic pizza with tomatoes, mozzarella, and basil.","$12-18"
Tacos al Pastor,Mexican,Main,"Spit-grilled pork tacos with pineapple, onion, and cilantro.","$3-5 (per taco)"
Sushi (Nigiri),Japanese,Main,"Vinegared rice topped with ingredients, usually raw fish.","$5-8 (per 2 pieces)"
Butter Chicken,Indian,Main,"Grilled chicken in a mildly spiced tomato and butter sauce.","$16-22"
Pad Thai,Thai,Main,"Stir-fried rice noodles with shrimp, peanuts, scrambled egg, and bean sprouts.","$13-17"
Coq au Vin,French,Main,"Chicken braised with wine, mushrooms, and garlic.","$22-30"
Paella,Spanish,Main,"Saffron rice dish with seafood, chicken, and vegetables.","$18-25 (per person)"
Kung Pao Chicken,Chinese,Main,"Spicy stir-fry of chicken, peanuts, vegetables, and chili peppers.","$14-19"
Moussaka,Greek,Main,"Layered casserole of eggplant, minced lamb, and béchamel sauce.","$15-20"
Pho,Vietnamese,Main,"Noodle soup with broth, herbs, and beef or chicken.","$12-16"
Samosa,Indian,Appetizer,"Fried pastry with a savory filling, like spiced potatoes and peas.","$4-7 (2 pieces)"
Crème Brûlée,French,Dessert,"Rich custard base topped with a layer of hardened caramelized sugar.","$8-12"
Guacamole,Mexican,Appetizer,"Dip made from mashed avocados, onion, cilantro, and lime.","$9-14"
Tom Yum Goong,Thai,Soup,"Hot and sour shrimp soup with lemongrass and galangal.","$7-10 (bowl)"
Ramen,Japanese,Main,"Noodle soup with rich broth, chashu pork, and a soft-boiled egg.","$14-18"
Patatas Bravas,Spanish,Appetizer (Tapas),"Fried potato cubes served with a spicy tomato sauce.","$7-11"
Dim Sum (Har Gow),Chinese,Appetizer,"Steamed shrimp dumplings with a translucent wrapper.","$6-9 (per order)"
Greek Salad,Greek,Salad,"Salad of tomatoes, cucumbers, onion, feta cheese, and olives.","$10-15"
Carbonara,Italian,Main,"Pasta with eggs, hard cheese, cured pork, and black pepper.","$16-21"
Chana Masala,Indian,Main,"Vegetarian chickpea curry with onions, tomatoes, and spices.","$14-18"
